V,W,X,Y,Z
0.908164832364254,0.06395558749217232,0.17072805163707883,0.7863515363298397,0.326011335534417
0.23380120827172515,0.2164381962262415,0.5325381349943283,0.3319030579087719,0.7449609880564869
0.6006789442356475,0.5728440399847718,0.919702506502062,0.734991855013603,0.6262614898187963
0.5856791060890271,0.7767105963132513,0.2789618086516292,0.3384489108033046,0.7101110828386133
0.6845102590093808,0.4554267494072408,0.7550244877649054,0.7363979881499952,0.6872057185312168
0.5129525806613212,0.8187166011717605,0.6846563530713013,0.354473958342954,0.6278177190437433
0.6647988475161245,0.3784710515160897,0.8128686353472645,0.7002893728161329,0.7966157940301469
0.5426303192763737,0.7749325789706027,0.5712895281650402,0.42237965103603464,0.4019651165402312
0.6645589410557777,0.5345297852269361,0.9169942339607624,0.7531480642352717,0.8235639579604548
0.49045975073642073,0.766075895594243,0.285106465400542,0.28481885459707806,0.3247806909251652
0.7524602022215243,0.569437360399684,0.7699795419543363,0.6864851396757108,0.7702866989792974
0.33888410118232754,0.7590183884849441,0.6630595793913691,0.43248833230227507,0.47400045330318347
0.652562819212833,0.5436729925439749,0.8210930597471635,0.7573418719803051,0.8560930504652501
0.5255474866275458,0.764100043426736,0.554193233351496,0.29405065666459934,0.23112292436979892
0.6648465895845396,0.6152800504635286,0.9161880005848125,0.6816906213015449,0.6338078493051686
0.4688336388393559,0.7504996958756375,0.28847443115276733,0.43118786970898304,0.7038714939752573
0.756688163834315,0.5186310579136938,0.7694669845743154,0.8072778594369584,0.6721278025714452
0.33923073245926677,0.8149667777172044,0.6758976466246266,0.15251081879424572,0.62895671012131
0.6620394449353144,0.37472811734329314,0.814143859187325,0.4224231098737168,0.841942383872302
0.5469538222998411,0.7584810923629921,0.5740890119788096,0.6909315225005254,0.3726332518983997
0.6680673174449618,0.5895712637916255,0.9209669103409879,0.5319248033405984,0.7733649400874454
0.47432778275700904,0.7429576776982403,0.2737291822897519,0.6336165217901899,0.5115296090019988
0.7283909033520596,0.5836432279968441,0.7573010665017824,0.7103434849380482,0.8129128097536976
